Cluster,País_1,País_2,Años_overlap,Años_min_común,Años_max_común,Productos_comunes,Correlación,Años_solo_P1,Años_solo_P2,Rango_solo_P1,Rango_solo_P2
0,Eritrea,Etiopía,30,1993,2022,39,0.364649657017011,0,0,N/A-N/A,N/A-N/A
0,Eritrea,Federación de Rusia,30,1993,2022,39,-0.18976685540939284,0,1,N/A-N/A,1992-1992
0,Eritrea,Georgia,30,1993,2022,39,-0.05609954403932485,0,1,N/A-N/A,1992-1992
0,Eritrea,Kazajstán,30,1993,2022,39,-0.011020300666374801,0,1,N/A-N/A,1992-1992
0,Eritrea,Kirguistán,30,1993,2022,39,0.23825415555129908,0,1,N/A-N/A,1992-1992
0,Eritrea,Letonia,30,1993,2022,39,-0.12318546995598294,0,1,N/A-N/A,1992-1992
0,Eritrea,Lituania,30,1993,2022,39,-0.08914928006146093,0,1,N/A-N/A,1992-1992
0,Eritrea,Luxemburgo,23,2000,2022,39,-0.06606548326573773,7,0,1993-1999,N/A-N/A
0,Eritrea,Macedonia del Norte,30,1993,2022,38,-0.23939098154232316,0,1,N/A-N/A,1992-1992
0,Eritrea,Micronesia (Estados Federados de),30,1993,2022,39,0.2680042290882771,0,2,N/A-N/A,1991-1992
0,Eritrea,Montenegro,17,2006,2022,39,-0.20015843117274482,13,0,1993-2005,N/A-N/A
0,Eritrea,Palestina,30,1993,2022,33,0.3038884172645247,0,3,N/A-N/A,1990-1992
0,Eritrea,República de Moldova,30,1993,2022,39,-0.33528427427410373,0,1,N/A-N/A,1992-1992
0,Eritrea,Serbia,17,2006,2022,39,-0.336322984905098,13,0,1993-2005,N/A-N/A
0,Eritrea,Tayikistán,30,1993,2022,39,0.3432139676279055,0,1,N/A-N/A,1992-1992
0,Eritrea,Turkmenistán,30,1993,2022,39,0.38078581778483944,0,1,N/A-N/A,1992-1992
0,Eritrea,Ucrania,30,1993,2022,39,-0.33652366454664195,0,1,N/A-N/A,1992-1992
0,Eritrea,Uzbekistán,30,1993,2022,38,0.3521596446372173,0,1,N/A-N/A,1992-1992
