País,Año_min,Año_max,Años_span,Años_únicos,Continuidad_%,N_productos,N_elementos,N_combos_prod_elem,Cobertura_productos_%,Cobertura_elementos_%,Registros_totales,Densidad_datos_%,Registros_pre1990,Registros_post1990,Tiene_pre1990,Tiene_post1990,Cluster
Países de bajos ingresos y con déficit de alim.,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9902,69.43899018232818,2088,7814,True,True,1
África occidental,1961,2022,62,62,100.0,42,9,222,97.67441860465115,100.0,9554,69.41296134844522,2030,7524,True,True,1
Cuba,1961,2022,62,62,100.0,42,9,227,97.67441860465115,100.0,9767,69.3974705130027,2030,7737,True,True,1
África oriental,1961,2022,62,62,100.0,42,9,227,97.67441860465115,100.0,9765,69.38325991189427,2088,7677,True,True,1
Tailandia,1961,2022,62,62,100.0,42,9,226,97.67441860465115,100.0,9721,69.37624892948901,2030,7691,True,True,1
Gabón,1961,2022,62,62,100.0,41,9,222,95.34883720930233,100.0,9547,69.3621040395234,2030,7517,True,True,1
Eswatini,1961,2022,62,62,100.0,41,9,216,95.34883720930233,100.0,9286,69.33990442054959,1943,7343,True,True,1
Myanmar,1961,2022,62,62,100.0,42,9,228,97.67441860465115,100.0,9801,69.33361629881153,2030,7771,True,True,1
Asia meridional,1961,2022,62,62,100.0,42,9,229,97.67441860465115,100.0,9843,69.32666572756726,2088,7755,True,True,1
Asia sudoriental,1961,2022,62,62,100.0,42,9,229,97.67441860465115,100.0,9843,69.32666572756726,2088,7755,True,True,1
Asia oriental,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9876,69.25666199158485,2088,7788,True,True,1
Pequeñas islas en vías de Desarrollo,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9876,69.25666199158485,2088,7788,True,True,1
Senegal,1961,2022,62,62,100.0,42,9,221,97.67441860465115,100.0,9486,69.23076923076923,1972,7514,True,True,1
Los países menos desarrollados,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,9870,69.21458625525946,2088,7782,True,True,1
Haití,1961,2022,62,62,100.0,40,9,213,93.02325581395348,100.0,9139,69.20339239739512,1972,7167,True,True,1
